,county,state,Lon,Lat
2434,Letcher,Kentucky,-82.9590507,37.1450963
2435,McLean,Kentucky,-87.2594272,37.5216272
2436,Monroe,Kentucky,-85.697747,37.2322786
2437,Pike,Kentucky,-85.7746932,37.140332
2438,Houston,Minnesota,-91.4685617,43.6624222
2439,Pipestone,Minnesota,-96.2566582,44.0270012
2440,Stone,Mississippi,-89.1342764,30.7843863
2441,Johnson,Nebraska,-96.2796179,40.3915587
2442,Phelps,Nebraska,-99.425665,40.5078647
2443,Seward,Nebraska,-97.1706676,40.8695533
2444,Pender,North Carolina,-77.592753,36.3104307
2445,Emmons,North Dakota,-100.2574942,46.2575403
2446,Monroe,Ohio,-84.363365,39.4432691
2447,Sherman,Oregon,-120.6963746,45.3944268
2448,Fulton,Pennsylvania,-79.7214326,40.2734033
2449,Henderson,Tennessee,-88.6414411,35.4392435
2450,Aransas,Texas,-96.947708,28.1987876
2451,Florence,Wisconsin,-88.251799,45.922176
2452,Petersburg Borough,Alaska,-133.4588406,56.7512207
2453,Clay,Arkansas,-90.4087659,36.3609902
2454,Franklin,Arkansas,-93.8864847,35.5110075
